,Unnamed: 0,Group,Timestamp,Count,Date,Time
0,0,0,6/7/2014 8:37,5,6/7/2014,8:37:00
10,10,0,6/7/2014 8:48,139,6/7/2014,8:48:00
20,20,0,6/7/2014 8:58,210,6/7/2014,8:58:00
30,30,0,6/7/2014 9:08,165,6/7/2014,9:08:00
40,40,0,6/7/2014 9:18,184,6/7/2014,9:18:00
50,50,0,6/7/2014 9:28,333,6/7/2014,9:28:00
60,60,0,6/7/2014 9:38,90,6/7/2014,9:38:00
70,70,3,6/7/2014 8:16,65,6/7/2014,8:16:00
80,80,3,6/7/2014 8:26,42,6/7/2014,8:26:00
90,90,3,6/7/2014 8:36,137,6/7/2014,8:36:00
100,100,3,6/7/2014 8:46,198,6/7/2014,8:46:00
110,110,3,6/7/2014 8:56,101,6/7/2014,8:56:00
120,120,3,6/7/2014 9:06,128,6/7/2014,9:06:00
130,130,3,6/7/2014 9:16,107,6/7/2014,9:16:00
140,140,3,6/7/2014 9:26,23,6/7/2014,9:26:00
150,150,3,6/7/2014 9:36,91,6/7/2014,9:36:00
160,160,4,6/7/2014 8:05,57,6/7/2014,8:05:00
170,170,4,6/7/2014 8:15,740,6/7/2014,8:15:00
180,180,4,6/7/2014 8:25,236,6/7/2014,8:25:00
190,190,4,6/7/2014 8:35,85,6/7/2014,8:35:00
200,200,4,6/7/2014 8:45,64,6/7/2014,8:45:00
210,210,4,6/7/2014 8:55,322,6/7/2014,8:55:00
220,220,4,6/7/2014 9:05,404,6/7/2014,9:05:00
230,230,4,6/7/2014 9:15,128,6/7/2014,9:15:00
240,240,4,6/7/2014 9:25,292,6/7/2014,9:25:00
250,250,4,6/7/2014 9:35,380,6/7/2014,9:35:00
260,260,5,6/7/2014 8:11,17,6/7/2014,8:11:00
270,270,5,6/7/2014 8:21,48,6/7/2014,8:21:00
280,280,5,6/7/2014 8:31,59,6/7/2014,8:31:00
290,290,5,6/7/2014 8:41,23,6/7/2014,8:41:00
300,300,5,6/7/2014 8:51,92,6/7/2014,8:51:00
310,310,5,6/7/2014 9:01,98,6/7/2014,9:01:00
320,320,5,6/7/2014 9:11,123,6/7/2014,9:11:00
330,330,5,6/7/2014 9:21,31,6/7/2014,9:21:00
340,340,5,6/7/2014 9:31,61,6/7/2014,9:31:00
350,350,10,6/7/2014 8:05,4,6/7/2014,8:05:00
360,360,10,6/7/2014 8:24,20,6/7/2014,8:24:00
370,370,10,6/7/2014 8:34,74,6/7/2014,8:34:00
380,380,10,6/7/2014 8:44,31,6/7/2014,8:44:00
390,390,10,6/7/2014 8:54,63,6/7/2014,8:54:00
400,400,10,6/7/2014 9:04,54,6/7/2014,9:04:00
410,410,10,6/7/2014 9:14,104,6/7/2014,9:14:00
420,420,10,6/7/2014 9:24,40,6/7/2014,9:24:00
430,430,10,6/7/2014 9:34,36,6/7/2014,9:34:00
440,440,11,6/7/2014 8:33,46,6/7/2014,8:33:00
450,450,11,6/7/2014 8:43,116,6/7/2014,8:43:00
460,460,11,6/7/2014 8:53,127,6/7/2014,8:53:00
470,470,11,6/7/2014 9:03,55,6/7/2014,9:03:00
480,480,11,6/7/2014 9:13,63,6/7/2014,9:13:00
490,490,11,6/7/2014 9:29,56,6/7/2014,9:29:00
500,500,11,6/7/2014 9:39,18,6/7/2014,9:39:00
510,510,13,6/7/2014 9:25,34,6/7/2014,9:25:00
520,520,13,6/7/2014 9:35,52,6/7/2014,9:35:00
530,530,15,6/7/2014 8:04,28,6/7/2014,8:04:00
540,540,15,6/7/2014 8:14,27,6/7/2014,8:14:00
550,550,15,6/7/2014 8:24,165,6/7/2014,8:24:00
560,560,15,6/7/2014 8:34,162,6/7/2014,8:34:00
570,570,15,6/7/2014 8:44,94,6/7/2014,8:44:00
580,580,15,6/7/2014 8:54,297,6/7/2014,8:54:00
590,590,15,6/7/2014 9:04,258,6/7/2014,9:04:00
