,Unnamed: 0,Group,Timestamp,Count,Date,Time
660,660,3,6/8/2014 8:24,33,6/8/2014,8:24:00
690,690,3,6/8/2014 8:54,198,6/8/2014,8:54:00
720,720,3,6/8/2014 9:24,72,6/8/2014,9:24:00
750,750,3,6/8/2014 9:54,78,6/8/2014,9:54:00
0,0,3,6/8/2014 10:00,112,6/8/2014,10:00:00
30,30,3,6/8/2014 10:30,215,6/8/2014,10:30:00
60,60,3,6/8/2014 11:00,183,6/8/2014,11:00:00
90,90,3,6/8/2014 11:30,77,6/8/2014,11:30:00
120,120,3,6/8/2014 12:00,36,6/8/2014,12:00:00
150,150,3,6/8/2014 12:30,101,6/8/2014,12:30:00
180,180,3,6/8/2014 13:00,77,6/8/2014,13:00:00
210,210,3,6/8/2014 13:30,105,6/8/2014,13:30:00
240,240,3,6/8/2014 14:00,82,6/8/2014,14:00:00
270,270,3,6/8/2014 14:30,49,6/8/2014,14:30:00
300,300,3,6/8/2014 15:00,109,6/8/2014,15:00:00
330,330,3,6/8/2014 15:30,85,6/8/2014,15:30:00
360,360,3,6/8/2014 16:00,118,6/8/2014,16:00:00
390,390,3,6/8/2014 16:31,64,6/8/2014,16:31:00
420,420,3,6/8/2014 17:01,49,6/8/2014,17:01:00
450,450,3,6/8/2014 17:31,80,6/8/2014,17:31:00
480,480,3,6/8/2014 18:01,57,6/8/2014,18:01:00
510,510,3,6/8/2014 18:31,121,6/8/2014,18:31:00
540,540,3,6/8/2014 19:01,75,6/8/2014,19:01:00
570,570,3,6/8/2014 19:31,93,6/8/2014,19:31:00
600,600,3,6/8/2014 20:01,35,6/8/2014,20:01:00
630,630,3,6/8/2014 20:31,52,6/8/2014,20:31:00
1110,1110,15,6/8/2014 9:10,16,6/8/2014,9:10:00
780,780,15,6/8/2014 11:06,18,6/8/2014,11:06:00
810,810,15,6/8/2014 11:51,18,6/8/2014,11:51:00
840,840,15,6/8/2014 12:32,18,6/8/2014,12:32:00
870,870,15,6/8/2014 13:17,23,6/8/2014,13:17:00
900,900,15,6/8/2014 14:14,8,6/8/2014,14:14:00
930,930,15,6/8/2014 14:54,9,6/8/2014,14:54:00
960,960,15,6/8/2014 16:01,12,6/8/2014,16:01:00
990,990,15,6/8/2014 17:32,13,6/8/2014,17:32:00
1020,1020,15,6/8/2014 19:41,1,6/8/2014,19:41:00
1050,1050,15,6/8/2014 20:54,9,6/8/2014,20:54:00
1080,1080,15,6/8/2014 22:27,9,6/8/2014,22:27:00
1860,1860,25,6/8/2014 8:21,149,6/8/2014,8:21:00
1890,1890,25,6/8/2014 8:51,358,6/8/2014,8:51:00
1920,1920,25,6/8/2014 9:21,238,6/8/2014,9:21:00
1950,1950,25,6/8/2014 9:51,144,6/8/2014,9:51:00
1140,1140,25,6/8/2014 10:09,299,6/8/2014,10:09:00
1170,1170,25,6/8/2014 10:39,106,6/8/2014,10:39:00
1200,1200,25,6/8/2014 11:09,276,6/8/2014,11:09:00
1230,1230,25,6/8/2014 11:39,320,6/8/2014,11:39:00
1260,1260,25,6/8/2014 12:09,207,6/8/2014,12:09:00
1290,1290,25,6/8/2014 12:39,148,6/8/2014,12:39:00
1320,1320,25,6/8/2014 13:09,190,6/8/2014,13:09:00
1350,1350,25,6/8/2014 13:39,152,6/8/2014,13:39:00
1380,1380,25,6/8/2014 14:09,255,6/8/2014,14:09:00
1410,1410,25,6/8/2014 14:39,193,6/8/2014,14:39:00
1440,1440,25,6/8/2014 15:09,175,6/8/2014,15:09:00
1470,1470,25,6/8/2014 15:39,215,6/8/2014,15:39:00
1500,1500,25,6/8/2014 16:09,268,6/8/2014,16:09:00
1530,1530,25,6/8/2014 16:39,219,6/8/2014,16:39:00
1560,1560,25,6/8/2014 17:09,165,6/8/2014,17:09:00
1590,1590,25,6/8/2014 17:39,74,6/8/2014,17:39:00
1620,1620,25,6/8/2014 18:09,233,6/8/2014,18:09:00
1650,1650,25,6/8/2014 18:39,227,6/8/2014,18:39:00
1680,1680,25,6/8/2014 19:09,245,6/8/2014,19:09:00
1710,1710,25,6/8/2014 19:39,112,6/8/2014,19:39:00
1740,1740,25,6/8/2014 20:09,249,6/8/2014,20:09:00
1770,1770,25,6/8/2014 20:39,101,6/8/2014,20:39:00
1800,1800,25,6/8/2014 21:09,209,6/8/2014,21:09:00
1830,1830,25,6/8/2014 21:39,201,6/8/2014,21:39:00
2640,2640,38,6/8/2014 8:24,45,6/8/2014,8:24:00
2670,2670,38,6/8/2014 8:54,47,6/8/2014,8:54:00
2700,2700,38,6/8/2014 9:24,62,6/8/2014,9:24:00
2730,2730,38,6/8/2014 9:54,64,6/8/2014,9:54:00
1980,1980,38,6/8/2014 10:21,66,6/8/2014,10:21:00
2010,2010,38,6/8/2014 10:51,49,6/8/2014,10:51:00
2040,2040,38,6/8/2014 11:24,88,6/8/2014,11:24:00
2070,2070,38,6/8/2014 11:54,53,6/8/2014,11:54:00
2100,2100,38,6/8/2014 12:24,116,6/8/2014,12:24:00
2130,2130,38,6/8/2014 12:54,82,6/8/2014,12:54:00
2160,2160,38,6/8/2014 13:24,35,6/8/2014,13:24:00
2190,2190,38,6/8/2014 13:54,57,6/8/2014,13:54:00
2220,2220,38,6/8/2014 14:27,25,6/8/2014,14:27:00
2250,2250,38,6/8/2014 15:02,19,6/8/2014,15:02:00
2280,2280,38,6/8/2014 15:32,37,6/8/2014,15:32:00
2310,2310,38,6/8/2014 16:02,49,6/8/2014,16:02:00
2340,2340,38,6/8/2014 16:37,62,6/8/2014,16:37:00
2370,2370,38,6/8/2014 17:07,71,6/8/2014,17:07:00
2400,2400,38,6/8/2014 17:39,27,6/8/2014,17:39:00
2430,2430,38,6/8/2014 18:09,61,6/8/2014,18:09:00
2460,2460,38,6/8/2014 18:44,77,6/8/2014,18:44:00
2490,2490,38,6/8/2014 19:14,62,6/8/2014,19:14:00
2520,2520,38,6/8/2014 19:44,58,6/8/2014,19:44:00
2550,2550,38,6/8/2014 20:16,13,6/8/2014,20:16:00
2580,2580,38,6/8/2014 20:47,25,6/8/2014,20:47:00
2610,2610,38,6/8/2014 21:17,129,6/8/2014,21:17:00
3510,3510,47,6/8/2014 8:23,8,6/8/2014,8:23:00
3540,3540,47,6/8/2014 8:53,119,6/8/2014,8:53:00
